+--------------------------------------------------------------+
| AINE-DRL Training Start!                                     |
|==============================================================|
| ID: CartPole-v1-NoVelocity_NaivePPO                          |
| Output Path: results/CartPole-v1-NoVelocity_NaivePPO         |
|--------------------------------------------------------------|
| Training INFO:                                               |
|     number of environments: 16                               |
|     total time steps: 200000                                 |
|     summary frequency: 2000                                  |
|     agent save frequency: 20000                              |
|--------------------------------------------------------------|
| Agent INFO:                                                  |
|     name: PPO                                                |
|     device: cuda:0                                           |
+--------------------------------------------------------------+

[AINE-DRL] training time: 3.98, time steps: 2000, cumulated reward: 25.75
[AINE-DRL] training time: 7.79, time steps: 4000, cumulated reward: 44.22
[AINE-DRL] training time: 11.72, time steps: 6000, cumulated reward: 49.78
[AINE-DRL] training time: 15.63, time steps: 8000, cumulated reward: 47.86
[AINE-DRL] training time: 19.56, time steps: 10000, cumulated reward: 63.58
[AINE-DRL] training time: 23.15, time steps: 12000, cumulated reward: 53.73
[AINE-DRL] training time: 27.01, time steps: 14000, cumulated reward: 47.40
[AINE-DRL] training time: 30.94, time steps: 16000, cumulated reward: 53.89
[AINE-DRL] training time: 34.89, time steps: 18000, cumulated reward: 50.10
[AINE-DRL] training time: 38.74, time steps: 20000, cumulated reward: 50.70
[AINE-DRL] Agent is successfully saved: results/CartPole-v1-NoVelocity_NaivePPO/agent.pt
[AINE-DRL] training time: 42.32, time steps: 22000, cumulated reward: 47.48
[AINE-DRL] training time: 46.20, time steps: 24000, cumulated reward: 47.23
[AINE-DRL] training time: 50.11, time steps: 26000, cumulated reward: 42.96
[AINE-DRL] training time: 53.91, time steps: 28000, cumulated reward: 47.55
[AINE-DRL] training time: 57.74, time steps: 30000, cumulated reward: 47.74
[AINE-DRL] training time: 61.63, time steps: 32000, cumulated reward: 45.30
[AINE-DRL] training time: 65.22, time steps: 34000, cumulated reward: 45.52
[AINE-DRL] training time: 69.09, time steps: 36000, cumulated reward: 45.95
[AINE-DRL] training time: 72.96, time steps: 38000, cumulated reward: 48.05
[AINE-DRL] training time: 76.82, time steps: 40000, cumulated reward: 51.79
[AINE-DRL] Agent is successfully saved: results/CartPole-v1-NoVelocity_NaivePPO/agent.pt
[AINE-DRL] training time: 80.75, time steps: 42000, cumulated reward: 46.70
[AINE-DRL] training time: 84.31, time steps: 44000, cumulated reward: 48.00
[AINE-DRL] training time: 88.23, time steps: 46000, cumulated reward: 44.24
[AINE-DRL] training time: 92.11, time steps: 48000, cumulated reward: 44.04
[AINE-DRL] training time: 96.12, time steps: 50000, cumulated reward: 45.52
[AINE-DRL] training time: 100.24, time steps: 52000, cumulated reward: 43.46
[AINE-DRL] training time: 104.37, time steps: 54000, cumulated reward: 44.76
[AINE-DRL] training time: 108.77, time steps: 56000, cumulated reward: 42.80
[AINE-DRL] training time: 112.71, time steps: 58000, cumulated reward: 43.09
[AINE-DRL] training time: 116.59, time steps: 60000, cumulated reward: 43.02
