+------------------------------------------------------------------+
| AINE-DRL Training Start!                                         |
|==================================================================|
| ID: CartPole-v1-NoVelocity_RecurrentPPO                          |
| Output Path: results/CartPole-v1-NoVelocity_RecurrentPPO         |
|------------------------------------------------------------------|
| Training INFO:                                                   |
|     number of environments: 16                                   |
|     total time steps: 200000                                     |
|     summary frequency: 2000                                      |
|     agent save frequency: 20000                                  |
|------------------------------------------------------------------|
| Agent INFO:                                                      |
|     name: Recurrent PPO                                          |
|     device: cuda:0                                               |
+------------------------------------------------------------------+

[AINE-DRL] training time: 5.24, time steps: 2000, cumulated reward: 20.15
[AINE-DRL] training time: 11.37, time steps: 4000, cumulated reward: 23.91
[AINE-DRL] training time: 17.03, time steps: 6000, cumulated reward: 43.09
[AINE-DRL] training time: 22.61, time steps: 8000, cumulated reward: 49.25
[AINE-DRL] training time: 27.86, time steps: 10000, cumulated reward: 51.46
[AINE-DRL] training time: 33.17, time steps: 12000, cumulated reward: 50.28
[AINE-DRL] training time: 38.81, time steps: 14000, cumulated reward: 67.17
[AINE-DRL] training time: 44.82, time steps: 16000, cumulated reward: 80.44
[AINE-DRL] training time: 49.73, time steps: 18000, cumulated reward: 90.77
[AINE-DRL] training time: 55.05, time steps: 20000, cumulated reward: 102.00
[AINE-DRL] Agent is successfully saved: results/CartPole-v1-NoVelocity_RecurrentPPO/agent.pt
[AINE-DRL] training time: 60.02, time steps: 22000, cumulated reward: 67.20
[AINE-DRL] training time: 65.54, time steps: 24000, cumulated reward: 101.42
[AINE-DRL] training time: 70.97, time steps: 26000, cumulated reward: 84.62
[AINE-DRL] training time: 76.62, time steps: 28000, cumulated reward: 68.53
[AINE-DRL] training time: 81.77, time steps: 30000, cumulated reward: 79.88
[AINE-DRL] training time: 86.74, time steps: 32000, cumulated reward: 96.43
[AINE-DRL] training time: 91.46, time steps: 34000, cumulated reward: 107.74
[AINE-DRL] training time: 96.24, time steps: 36000, cumulated reward: 103.32
[AINE-DRL] training time: 101.23, time steps: 38000, cumulated reward: 82.78
[AINE-DRL] training time: 106.23, time steps: 40000, cumulated reward: 133.12
[AINE-DRL] Agent is successfully saved: results/CartPole-v1-NoVelocity_RecurrentPPO/agent.pt
[AINE-DRL] training time: 111.35, time steps: 42000, cumulated reward: 90.67
[AINE-DRL] training time: 115.90, time steps: 44000, cumulated reward: 87.87
[AINE-DRL] training time: 120.77, time steps: 46000, cumulated reward: 98.43
[AINE-DRL] training time: 125.59, time steps: 48000, cumulated reward: 98.80
[AINE-DRL] training time: 130.45, time steps: 50000, cumulated reward: 126.50
[AINE-DRL] training time: 135.21, time steps: 52000, cumulated reward: 159.33
[AINE-DRL] training time: 139.86, time steps: 54000, cumulated reward: 130.44
[AINE-DRL] training time: 144.84, time steps: 56000, cumulated reward: 117.29
[AINE-DRL] training time: 151.09, time steps: 58000, cumulated reward: 126.50
[AINE-DRL] training time: 157.13, time steps: 60000, cumulated reward: 136.86
[AINE-DRL] Agent is successfully saved: results/CartPole-v1-NoVelocity_RecurrentPPO/agent.pt
[AINE-DRL] training time: 162.87, time steps: 62000, cumulated reward: 168.67
[AINE-DRL] training time: 168.82, time steps: 64000, cumulated reward: 102.58
[AINE-DRL] training time: 173.87, time steps: 66000, cumulated reward: 117.28
[AINE-DRL] training time: 179.44, time steps: 68000, cumulated reward: 165.08
[AINE-DRL] training time: 184.86, time steps: 70000, cumulated reward: 118.87
[AINE-DRL] training time: 189.73, time steps: 72000, cumulated reward: 167.17
[AINE-DRL] training time: 194.65, time steps: 74000, cumulated reward: 160.38
[AINE-DRL] training time: 199.19, time steps: 76000, cumulated reward: 152.54
[AINE-DRL] training time: 203.96, time steps: 78000, cumulated reward: 339.83
[AINE-DRL] training time: 208.83, time steps: 80000, cumulated reward: 153.46
[AINE-DRL] Agent is successfully saved: results/CartPole-v1-NoVelocity_RecurrentPPO/agent.pt
[AINE-DRL] training time: 213.71, time steps: 82000, cumulated reward: 130.23
[AINE-DRL] training time: 218.51, time steps: 84000, cumulated reward: 176.23
[AINE-DRL] training time: 223.34, time steps: 86000, cumulated reward: 211.11
[AINE-DRL] training time: 228.58, time steps: 88000, cumulated reward: 236.22
[AINE-DRL] training time: 233.91, time steps: 90000, cumulated reward: 208.11
[AINE-DRL] training time: 238.87, time steps: 92000, cumulated reward: 226.33
[AINE-DRL] training time: 243.79, time steps: 94000, cumulated reward: 181.91
